path,target,pred,confidence
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1123_r05_c06.jpg,B,E,0.9700
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1124_r03_c15.jpg,B,W,0.9152
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1124_r05_c06.jpg,B,E,0.9570
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1125_r05_c06.jpg,B,E,0.9521
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1126_r03_c15.jpg,B,W,0.9289
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1126_r05_c06.jpg,B,E,0.9679
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1127_r03_c15.jpg,B,W,0.9429
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1127_r05_c06.jpg,B,E,0.9647
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1128_r03_c15.jpg,B,W,0.9208
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1128_r05_c06.jpg,B,E,0.9205
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1129_r03_c15.jpg,B,W,0.9134
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1129_r05_c06.jpg,B,E,0.9394
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1130_r03_c15.jpg,B,W,0.9284
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1130_r05_c06.jpg,B,E,0.9665
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1131_r03_c15.jpg,B,W,0.9194
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1131_r05_c06.jpg,B,E,0.9557
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1132_r03_c15.jpg,B,W,0.9142
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1132_r05_c06.jpg,B,E,0.9699
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1133_r03_c15.jpg,B,W,0.9105
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1133_r05_c06.jpg,B,E,0.9695
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1133_r14_c15.jpg,B,E,0.9574
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1134_r05_c06.jpg,B,E,0.9670
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1134_r14_c15.jpg,B,E,0.9530
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1135_r03_c15.jpg,B,W,0.9232
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1135_r05_c06.jpg,B,E,0.9711
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1135_r14_c15.jpg,B,E,0.9627
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1136_r05_c06.jpg,B,E,0.9629
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1136_r14_c15.jpg,B,E,0.9633
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1137_r05_c06.jpg,B,E,0.9531
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1137_r14_c15.jpg,B,E,0.9565
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1138_r05_c06.jpg,B,E,0.9775
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1138_r14_c15.jpg,B,E,0.9454
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1139_r03_c15.jpg,B,W,0.9314
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1139_r05_c06.jpg,B,E,0.9519
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1139_r14_c15.jpg,B,E,0.9638
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1140_r05_c06.jpg,B,E,0.9646
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1140_r14_c15.jpg,B,E,0.9617
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1141_r03_c15.jpg,B,W,0.9354
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1141_r05_c06.jpg,B,E,0.9625
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1141_r14_c15.jpg,B,E,0.9426
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1142_r03_c15.jpg,B,W,0.9303
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1142_r05_c06.jpg,B,E,0.9385
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1142_r14_c15.jpg,B,E,0.9598
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1143_r03_c15.jpg,B,W,0.9323
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1143_r05_c06.jpg,B,E,0.9479
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1143_r14_c15.jpg,B,E,0.9517
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1144_r01_c11.jpg,B,E,0.9011
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1144_r05_c06.jpg,B,E,0.9617
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1144_r14_c15.jpg,B,E,0.9673
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1145_r01_c11.jpg,B,E,0.9063
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1145_r05_c06.jpg,B,E,0.9564
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1145_r14_c15.jpg,B,E,0.9674
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1146_r01_c11.jpg,B,E,0.9004
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1146_r03_c15.jpg,B,W,0.9159
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1146_r05_c06.jpg,B,E,0.9640
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1146_r14_c15.jpg,B,E,0.9504
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1147_r03_c15.jpg,B,W,0.9207
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1147_r05_c06.jpg,B,E,0.9620
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1147_r10_c14.jpg,B,E,0.9669
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1147_r14_c15.jpg,B,E,0.9603
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1148_r03_c15.jpg,B,W,0.9089
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1148_r05_c06.jpg,B,E,0.9637
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1148_r10_c14.jpg,B,E,0.9785
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1148_r14_c15.jpg,B,E,0.9484
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1149_r01_c11.jpg,B,E,0.9045
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1149_r03_c15.jpg,B,W,0.9339
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1149_r05_c06.jpg,B,E,0.9492
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1149_r10_c14.jpg,B,E,0.9763
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1149_r14_c15.jpg,B,E,0.9554
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1150_r03_c15.jpg,B,W,0.9385
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1150_r05_c06.jpg,B,E,0.9575
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1150_r10_c14.jpg,B,E,0.9595
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1150_r14_c15.jpg,B,E,0.9630
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1151_r01_c11.jpg,B,E,0.9026
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1151_r03_c15.jpg,B,W,0.9383
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1151_r05_c06.jpg,B,E,0.9314
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1151_r10_c14.jpg,B,E,0.9563
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1151_r14_c15.jpg,B,E,0.9624
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1152_r01_c11.jpg,B,E,0.9036
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1152_r03_c15.jpg,B,W,0.9454
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1152_r05_c06.jpg,B,E,0.9620
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1152_r09_c15.jpg,B,E,0.9032
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1152_r10_c14.jpg,B,E,0.9396
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1152_r14_c15.jpg,B,E,0.9426
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1153_r01_c11.jpg,B,E,0.9086
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1153_r03_c15.jpg,B,W,0.9622
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1153_r05_c06.jpg,B,E,0.9574
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1153_r10_c14.jpg,B,E,0.9579
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1153_r14_c15.jpg,B,E,0.9470
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1154_r01_c11.jpg,B,E,0.9204
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1154_r03_c15.jpg,B,W,0.9435
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1154_r05_c06.jpg,B,E,0.9539
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1154_r09_c06.jpg,B,E,0.9320
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1154_r10_c14.jpg,B,E,0.9483
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1154_r14_c15.jpg,B,E,0.9536
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1155_r01_c11.jpg,B,E,0.9133
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1155_r03_c15.jpg,B,W,0.9530
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1155_r05_c06.jpg,B,E,0.9583
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1155_r10_c14.jpg,B,E,0.9522
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1155_r14_c15.jpg,B,E,0.9552
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1156_r01_c11.jpg,B,E,0.9100
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1156_r03_c15.jpg,B,W,0.9251
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1156_r05_c06.jpg,B,E,0.9477
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1156_r09_c06.jpg,B,E,0.9244
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1156_r10_c14.jpg,B,E,0.9527
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1156_r14_c15.jpg,B,E,0.9611
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1157_r01_c11.jpg,B,E,0.9276
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1157_r03_c15.jpg,B,W,0.9581
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1157_r05_c06.jpg,B,E,0.9440
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1157_r09_c06.jpg,B,E,0.9022
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1157_r10_c14.jpg,B,E,0.9555
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1157_r14_c15.jpg,B,E,0.9679
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1158_r01_c11.jpg,B,E,0.9228
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1158_r03_c15.jpg,B,W,0.9425
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1158_r05_c06.jpg,B,E,0.9694
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1158_r09_c06.jpg,B,E,0.9021
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1158_r10_c14.jpg,B,E,0.9270
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1158_r14_c15.jpg,B,E,0.9509
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1159_r01_c11.jpg,B,E,0.9204
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1159_r03_c15.jpg,B,W,0.9588
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1159_r05_c06.jpg,B,E,0.9552
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1159_r09_c06.jpg,B,E,0.9113
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1159_r10_c14.jpg,B,E,0.9474
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1159_r14_c15.jpg,B,E,0.9566
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1160_r01_c11.jpg,B,E,0.9245
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1160_r03_c15.jpg,B,W,0.9356
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1160_r05_c06.jpg,B,E,0.9400
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1160_r10_c14.jpg,B,E,0.9299
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1160_r14_c15.jpg,B,E,0.9506
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1161_r01_c11.jpg,B,E,0.9238
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1161_r03_c15.jpg,B,W,0.9546
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1161_r10_c14.jpg,B,E,0.9247
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1161_r14_c15.jpg,B,E,0.9696
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1162_r01_c11.jpg,B,E,0.9100
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1162_r03_c15.jpg,B,W,0.9418
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1162_r09_c06.jpg,B,E,0.9095
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1162_r10_c14.jpg,B,E,0.9524
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1162_r14_c15.jpg,B,E,0.9532
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1163_r01_c11.jpg,B,E,0.9346
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1163_r02_c06.jpg,B,E,0.9066
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1163_r03_c15.jpg,B,W,0.9590
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1163_r08_c06.jpg,B,E,0.9945
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1163_r10_c14.jpg,B,E,0.9324
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1163_r14_c15.jpg,B,E,0.9675
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1164_r01_c11.jpg,B,E,0.9238
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1164_r03_c15.jpg,B,W,0.9424
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1164_r08_c06.jpg,B,E,0.9943
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1164_r09_c06.jpg,B,E,0.9180
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1164_r09_c16.jpg,B,E,0.9036
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1164_r10_c14.jpg,B,E,0.9002
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1164_r14_c15.jpg,B,E,0.9677
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1165_r01_c11.jpg,B,E,0.9227
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1165_r03_c15.jpg,B,W,0.9584
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1165_r08_c06.jpg,B,E,0.9955
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1165_r10_c14.jpg,B,E,0.9416
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1165_r14_c15.jpg,B,E,0.9618
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1166_r01_c11.jpg,B,E,0.9322
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1166_r03_c15.jpg,B,W,0.9534
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1166_r08_c06.jpg,B,E,0.9975
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1166_r09_c06.jpg,B,E,0.9188
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1166_r14_c15.jpg,B,E,0.9568
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1167_r01_c11.jpg,B,E,0.9471
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1167_r03_c15.jpg,B,W,0.9656
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1167_r08_c06.jpg,B,E,0.9949
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1167_r09_c06.jpg,B,E,0.9117
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1167_r14_c15.jpg,B,E,0.9539
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1168_r01_c11.jpg,B,E,0.9187
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1168_r03_c15.jpg,B,W,0.9285
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1168_r08_c06.jpg,B,E,0.9962
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1168_r09_c06.jpg,B,E,0.9262
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1168_r10_c14.jpg,B,E,0.9384
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1168_r14_c15.jpg,B,E,0.9612
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1169_r01_c11.jpg,B,E,0.9402
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1169_r03_c15.jpg,B,W,0.9617
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1169_r08_c06.jpg,B,E,0.9957
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1169_r09_c06.jpg,B,E,0.9364
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1169_r10_c14.jpg,B,E,0.9165
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1169_r14_c15.jpg,B,E,0.9586
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1170_r01_c11.jpg,B,E,0.9179
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1170_r03_c15.jpg,B,W,0.9385
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1170_r08_c06.jpg,B,E,0.9966
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1170_r09_c06.jpg,B,E,0.9222
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1170_r10_c14.jpg,B,E,0.9587
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1170_r14_c15.jpg,B,E,0.9576
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1171_r01_c11.jpg,B,E,0.9108
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1171_r03_c15.jpg,B,W,0.9502
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1171_r08_c06.jpg,B,E,0.9971
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1171_r09_c06.jpg,B,E,0.9222
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1171_r10_c14.jpg,B,E,0.9459
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1171_r14_c15.jpg,B,E,0.9576
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1172_r01_c11.jpg,B,E,0.9504
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1172_r03_c15.jpg,B,W,0.9573
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1172_r08_c06.jpg,B,E,0.9973
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1172_r09_c06.jpg,B,E,0.9240
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1172_r14_c08.jpg,B,E,0.9257
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1172_r14_c15.jpg,B,E,0.9607
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1173_r01_c11.jpg,B,E,0.9075
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1173_r03_c15.jpg,B,W,0.9554
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1173_r08_c06.jpg,B,E,0.9962
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1173_r09_c06.jpg,B,E,0.9198
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1173_r10_c14.jpg,B,E,0.9517
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1173_r14_c15.jpg,B,E,0.9644
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1174_r01_c11.jpg,B,E,0.9309
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1174_r03_c15.jpg,B,W,0.9561
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1174_r08_c06.jpg,B,E,0.9961
